,Datetime,Datetime Date,Datetime Time,Noise Threshold,Noise Level,Weather,Weather Type,Weather Code,Temperature,Humidity,Vehicle Type
38,15:57.5,30/12/2019,14:15:58,1,57,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,
39,27:56.0,30/12/2019,14:27:56,0,6,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,
40,29:03.7,30/12/2019,14:29:04,0,73,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,
41,30:22.1,30/12/2019,14:30:22,0,68,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
42,31:10.4,30/12/2019,14:31:10,0,26,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
43,31:18.4,30/12/2019,14:31:18,0,27,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
44,31:27.6,30/12/2019,14:31:28,0,89,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,
45,31:57.2,30/12/2019,14:31:57,0,62,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
46,32:18.0,30/12/2019,14:32:18,1,8,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,
47,33:10.3,30/12/2019,14:33:10,0,32,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
48,33:18.3,30/12/2019,14:33:18,1,74,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
49,34:18.0,30/12/2019,14:34:18,1,50,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
50,34:41.0,30/12/2019,14:34:41,1,89,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
51,34:50.2,30/12/2019,14:34:50,1,14,"['Clouds', 803, 296.27, 88]",'Clouds', 803, 296.27, 88,"['pedestrian', 'car', 'pedestrian', 'uncertain']"
52,34:58.9,30/12/2019,14:34:59,0,51,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,
53,35:06.7,30/12/2019,14:35:07,1,83,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,
54,35:14.9,30/12/2019,14:35:15,0,76,"['Clouds', 803, 296.27, 88]",'Clouds', 803, 296.27, 88,
55,36:18.0,30/12/2019,14:36:18,1,52,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,[]
56,36:31.9,30/12/2019,14:36:32,1,38,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,
57,36:57.3,30/12/2019,14:36:57,0,91,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,"['pedestrian', 'car', 'pedestrian', 'pedestrian']"
58,37:05.8,30/12/2019,14:37:06,1,64,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,
59,37:13.9,30/12/2019,14:37:14,0,68,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,
60,38:10.9,30/12/2019,14:38:11,1,86,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,
61,38:19.2,30/12/2019,14:38:19,1,56,"['Clouds', 803, 296.27, 88]",'Clouds', 803, 296.27, 88,['detection error']
62,38:27.8,30/12/2019,14:38:28,1,51,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,
63,39:00.5,30/12/2019,14:39:01,1,5,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,
64,39:08.7,30/12/2019,14:39:09,0,6,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
65,39:17.9,30/12/2019,14:39:18,0,34,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,
66,39:29.8,30/12/2019,14:39:30,0,45,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,
67,39:38.2,30/12/2019,14:39:38,0,1,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
68,40:04.6,30/12/2019,14:40:05,0,67,"['Clouds', 803, 296.27, 88]",'Clouds', 803, 296.27, 88,
69,40:12.6,30/12/2019,14:40:13,1,20,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,
70,40:20.7,30/12/2019,14:40:21,0,34,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,
71,40:32.4,30/12/2019,14:40:32,1,26,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
72,40:50.5,30/12/2019,14:40:50,1,66,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
73,40:59.1,30/12/2019,14:40:59,0,74,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
74,41:08.4,30/12/2019,14:41:08,1,63,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
75,41:17.5,30/12/2019,14:41:18,1,89,"['Clouds', 803, 296.27, 88]",'Clouds', 803, 296.27, 88,
76,41:29.0,30/12/2019,14:41:29,1,58,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
77,41:41.6,30/12/2019,14:41:42,1,78,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
78,42:08.5,30/12/2019,14:42:08,1,34,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
79,42:18.1,30/12/2019,14:42:18,1,50,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
80,42:35.8,30/12/2019,14:42:36,0,60,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
81,42:46.7,30/12/2019,14:42:47,0,38,"['Clouds', 803, 296.27, 88]",'Clouds', 803, 296.27, 88,
82,43:07.1,30/12/2019,14:43:07,0,74,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
83,43:18.0,30/12/2019,14:43:18,1,64,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
84,43:27.2,30/12/2019,14:43:27,1,6,"['Clouds', 803, 296.27, 88]",'Clouds', 803, 296.27, 88,['detection error']
85,43:37.6,30/12/2019,14:43:38,1,9,"['Clouds', 803, 296.27, 88]",'Clouds', 803, 296.27, 88,
86,43:48.0,30/12/2019,14:43:48,1,100,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
87,43:55.8,30/12/2019,14:43:56,1,38,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
88,44:03.9,30/12/2019,14:44:04,1,19,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
89,44:18.0,30/12/2019,14:44:18,1,36,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
90,44:30.0,30/12/2019,14:44:30,0,35,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
91,44:38.1,30/12/2019,14:44:38,1,24,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
92,45:03.7,30/12/2019,14:45:04,0,93,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
93,45:11.7,30/12/2019,14:45:12,1,61,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
94,45:19.5,30/12/2019,14:45:19,0,57,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
95,45:27.6,30/12/2019,14:45:28,1,71,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
96,45:35.6,30/12/2019,14:45:36,1,44,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
97,45:44.6,30/12/2019,14:45:45,0,25,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
98,45:51.5,30/12/2019,14:45:51,1,56,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
99,46:17.9,30/12/2019,14:46:18,0,95,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
100,46:43.2,30/12/2019,14:46:43,0,34,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
101,46:51.4,30/12/2019,14:46:51,0,58,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
102,46:59.7,30/12/2019,14:47:00,0,19,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
103,47:10.2,30/12/2019,14:47:10,1,2,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
104,47:18.3,30/12/2019,14:47:18,1,85,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
105,48:18.0,30/12/2019,14:48:18,1,66,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
106,48:36.5,30/12/2019,14:48:37,0,35,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
107,48:45.4,30/12/2019,14:48:45,0,23,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
108,50:05.8,30/12/2019,14:50:06,1,4,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
109,50:13.8,30/12/2019,14:50:14,0,96,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
110,51:04.5,30/12/2019,14:51:04,0,34,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
111,51:34.5,30/12/2019,14:51:35,1,7,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,
112,51:43.2,30/12/2019,14:51:43,1,40,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,['detection error']
113,52:18.0,30/12/2019,14:52:18,1,79,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
114,53:54.8,30/12/2019,14:53:55,1,88,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,
115,54:06.6,30/12/2019,14:54:07,0,97,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,
116,54:18.1,30/12/2019,14:54:18,1,55,"['Clouds', 803, 296.26, 88]",'Clouds', 803, 296.26, 88,['detection error']
117,55:04.2,30/12/2019,14:55:04,0,40,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,['detection error']
118,55:12.6,30/12/2019,14:55:13,0,51,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,
119,56:18.1,30/12/2019,14:56:18,0,87,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,['detection error']
120,57:58.7,30/12/2019,14:57:59,0,32,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,
121,58:08.2,30/12/2019,14:58:08,1,7,"['Clouds', 803, 296.52, 83]",'Clouds', 803, 296.52, 83,['detection error']
122,58:18.2,30/12/2019,14:58:18,1,35,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,['detection error']
123,59:07.1,30/12/2019,14:59:07,1,98,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,['detection error']
124,59:15.6,30/12/2019,14:59:16,0,12,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,
125,00:05.3,30/12/2019,15:00:05,1,17,"['Clouds', 803, 296.52, 83]",'Clouds', 803, 296.52, 83,['detection error']
126,00:13.3,30/12/2019,15:00:13,1,21,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,['detection error']
127,01:07.1,30/12/2019,15:01:07,1,60,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,['detection error']
128,01:18.1,30/12/2019,15:01:18,1,61,"['Clouds', 803, 296.52, 83]",'Clouds', 803, 296.52, 83,['detection error']
129,02:43.0,30/12/2019,15:02:43,1,5,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,['detection error']
130,02:52.0,30/12/2019,15:02:52,1,97,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,['detection error']
131,03:05.4,30/12/2019,15:03:05,1,97,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,['detection error']
132,03:18.1,30/12/2019,15:03:18,1,48,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,['detection error']
133,03:28.8,30/12/2019,15:03:29,1,37,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,
134,03:37.7,30/12/2019,15:03:38,1,54,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
135,04:06.1,30/12/2019,15:04:06,0,5,"['Clouds', 803, 296.52, 83]",'Clouds', 803, 296.52, 83,['detection error']
136,04:14.2,30/12/2019,15:04:14,1,62,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,['detection error']
137,05:05.9,30/12/2019,15:05:06,0,81,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
138,05:13.8,30/12/2019,15:05:14,1,26,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,
139,05:21.9,30/12/2019,15:05:22,1,35,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
140,05:30.0,30/12/2019,15:05:30,1,57,"['Clouds', 803, 296.52, 83]",'Clouds', 803, 296.52, 83,
141,05:37.8,30/12/2019,15:05:38,1,89,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
142,05:45.8,30/12/2019,15:05:46,0,75,"['Clouds', 803, 296.52, 83]",'Clouds', 803, 296.52, 83,
143,06:17.9,30/12/2019,15:06:18,0,24,"['Clouds', 803, 296.53, 83]",'Clouds', 803, 296.53, 83,
144,07:10.3,30/12/2019,15:07:10,1,66,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,['detection error']
145,07:18.5,30/12/2019,15:07:19,1,29,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
146,08:32.5,30/12/2019,15:08:33,1,25,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
147,08:54.4,30/12/2019,15:08:54,1,34,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,['detection error']
148,09:03.4,30/12/2019,15:09:03,1,76,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,['detection error']
149,09:16.0,30/12/2019,15:09:16,0,13,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
150,09:25.9,30/12/2019,15:09:26,1,39,"['Clouds', 803, 296.52, 83]",'Clouds', 803, 296.52, 83,
151,09:34.1,30/12/2019,15:09:34,1,7,"['Clouds', 803, 296.52, 83]",'Clouds', 803, 296.52, 83,['detection error']
152,10:05.0,30/12/2019,15:10:05,1,82,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
153,10:14.0,30/12/2019,15:10:14,0,17,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
154,10:22.6,30/12/2019,15:10:23,1,83,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
155,10:29.8,30/12/2019,15:10:30,0,0,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
156,10:37.8,30/12/2019,15:10:38,1,3,"['Clouds', 803, 296.52, 83]",'Clouds', 803, 296.52, 83,
157,10:45.9,30/12/2019,15:10:46,1,37,"['Clouds', 803, 296.52, 83]",'Clouds', 803, 296.52, 83,
158,11:07.5,30/12/2019,15:11:07,0,61,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,['detection error']
159,11:15.9,30/12/2019,15:11:16,1,65,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
160,11:23.9,30/12/2019,15:11:24,0,96,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
161,11:32.8,30/12/2019,15:11:33,1,29,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
162,11:40.8,30/12/2019,15:11:41,0,37,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
163,12:11.9,30/12/2019,15:12:12,1,10,"['Clouds', 803, 296.52, 83]",'Clouds', 803, 296.52, 83,
164,12:58.8,30/12/2019,15:12:59,0,43,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
165,13:07.8,30/12/2019,15:13:08,0,2,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
166,13:16.7,30/12/2019,15:13:17,1,12,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
167,14:47.5,30/12/2019,15:14:47,1,31,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,['detection error']
168,15:58.2,30/12/2019,15:15:58,1,12,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,['detection error']
169,16:18.0,30/12/2019,15:16:18,0,33,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,
170,17:10.1,30/12/2019,15:17:10,1,13,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,['detection error']
171,17:18.0,30/12/2019,15:17:18,1,58,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,
172,17:29.9,30/12/2019,15:17:30,1,5,"['Clouds', 803, 296.57, 83]",'Clouds', 803, 296.57, 83,
173,17:50.8,30/12/2019,15:17:51,1,62,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,
174,18:18.0,30/12/2019,15:18:18,1,84,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,['detection error']
175,19:03.2,30/12/2019,15:19:03,1,59,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,['detection error']
176,19:13.8,30/12/2019,15:19:14,0,58,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,
177,20:04.5,30/12/2019,15:20:04,0,47,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,['detection error']
178,20:12.3,30/12/2019,15:20:12,1,8,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,['detection error']
179,20:20.2,30/12/2019,15:20:20,0,79,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,['detection error']
180,20:33.7,30/12/2019,15:20:34,0,34,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,
181,20:42.8,30/12/2019,15:20:43,1,30,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,
182,21:02.9,30/12/2019,15:21:03,0,82,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,
183,21:11.7,30/12/2019,15:21:12,0,12,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,
184,22:18.0,30/12/2019,15:22:18,1,52,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,['detection error']
185,22:46.9,30/12/2019,15:22:47,0,55,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,
186,22:54.9,30/12/2019,15:22:55,1,35,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,
187,23:03.1,30/12/2019,15:23:03,0,87,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,['detection error']
188,23:18.8,30/12/2019,15:23:19,0,26,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,
189,24:10.5,30/12/2019,15:24:10,0,46,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,['detection error']
190,24:51.4,30/12/2019,15:24:51,1,53,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,['detection error']
191,24:59.5,30/12/2019,15:25:00,1,93,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,
192,25:07.5,30/12/2019,15:25:07,1,15,"['Clouds', 802, 296.56, 83]",'Clouds', 802, 296.56, 83,['detection error']
193,25:15.5,30/12/2019,15:25:16,0,25,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,
194,25:23.5,30/12/2019,15:25:23,1,46,"['Clouds', 802, 296.56, 83]",'Clouds', 802, 296.56, 83,['detection error']
195,26:18.1,30/12/2019,15:26:18,1,84,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,['detection error']
196,27:10.4,30/12/2019,15:27:10,1,14,"['Clouds', 802, 296.56, 83]",'Clouds', 802, 296.56, 83,['detection error']
197,27:18.3,30/12/2019,15:27:18,0,12,"['Clouds', 802, 296.5, 83]",'Clouds', 802, 296.5, 83,['detection error']
198,27:27.3,30/12/2019,15:27:27,1,71,"['Clouds', 802, 296.5, 83]",'Clouds', 802, 296.5, 83,['detection error']
199,27:53.5,30/12/2019,15:27:54,1,96,"['Clouds', 802, 296.5, 83]",'Clouds', 802, 296.5, 83,
200,28:03.2,30/12/2019,15:28:03,1,56,"['Clouds', 802, 296.56, 83]",'Clouds', 802, 296.56, 83,['detection error']
201,28:18.0,30/12/2019,15:28:18,1,83,"['Clouds', 803, 296.56, 83]",'Clouds', 803, 296.56, 83,
202,29:10.4,30/12/2019,15:29:10,1,100,"['Clouds', 802, 296.5, 83]",'Clouds', 802, 296.5, 83,['detection error']
203,29:18.5,30/12/2019,15:29:18,0,48,"['Clouds', 802, 296.5, 83]",'Clouds', 802, 296.5, 83,['detection error']
204,29:26.6,30/12/2019,15:29:27,1,40,"['Clouds', 802, 296.5, 83]",'Clouds', 802, 296.5, 83,
205,30:09.9,30/12/2019,15:30:10,0,50,"['Clouds', 802, 296.56, 83]",'Clouds', 802, 296.56, 83,
206,31:18.3,30/12/2019,15:31:18,1,3,"['Clouds', 802, 296.5, 83]",'Clouds', 802, 296.5, 83,['detection error']
207,31:26.3,30/12/2019,15:31:26,1,61,"['Clouds', 802, 296.5, 83]",'Clouds', 802, 296.5, 83,['detection error']
208,31:35.1,30/12/2019,15:31:35,0,18,"['Clouds', 802, 296.5, 83]",'Clouds', 802, 296.5, 83,['detection error']
209,31:43.0,30/12/2019,15:31:43,1,49,"['Clouds', 802, 296.56, 83]",'Clouds', 802, 296.56, 83,['detection error']
210,32:08.2,30/12/2019,15:32:08,0,99,"['Clouds', 802, 296.5, 83]",'Clouds', 802, 296.5, 83,['detection error']
211,32:18.2,30/12/2019,15:32:18,1,3,"['Clouds', 802, 296.56, 83]",'Clouds', 802, 296.56, 83,['detection error']
212,33:06.1,30/12/2019,15:33:06,0,49,"['Clouds', 802, 296.5, 83]",'Clouds', 802, 296.5, 83,['detection error']
213,33:15.0,30/12/2019,15:33:15,0,11,"['Clouds', 802, 296.5, 83]",'Clouds', 802, 296.5, 83,['detection error']
