Datetime,Datetime Date,Datetime Time,Noise Threshold,Noise Level,Weather
43827.73877,28/12/2019,17:43:50,[1],94,"['Rain', 520, 296.75, 88]"
43827.73891,28/12/2019,17:44:02,[0],63,"['Rain', 520, 296.75, 88]"
43827.73947,28/12/2019,17:44:50,[1],99,"['Rain', 520, 296.75, 88]"
43827.73963,28/12/2019,17:45:04,[1],42,"['Rain', 520, 296.75, 88]"
43827.74016,28/12/2019,17:45:50,[1],26,"['Rain', 520, 296.74, 88]"
43827.7403,28/12/2019,17:46:02,[1],28,"['Rain', 520, 296.75, 88]"
43827.74086,28/12/2019,17:46:50,[0],85,"['Rain', 520, 296.74, 88]"
43827.74155,28/12/2019,17:47:50,[1],99,"['Rain', 520, 296.75, 88]"
43827.74169,28/12/2019,17:48:02,[1],87,"['Rain', 520, 296.74, 88]"
43827.74225,28/12/2019,17:48:50,[0],24,"['Rain', 520, 296.74, 88]"
43827.74294,28/12/2019,17:49:50,[1],79,"['Rain', 520, 296.75, 88]"
43827.74308,28/12/2019,17:50:02,[1],3,"['Rain', 520, 296.75, 88]"
43827.74364,28/12/2019,17:50:50,[1],61,"['Rain', 520, 296.74, 88]"
43827.74433,28/12/2019,17:51:50,[1],49,"['Rain', 520, 296.75, 88]"
43827.74447,28/12/2019,17:52:02,[1],85,"['Rain', 520, 296.75, 88]"
43827.74502,28/12/2019,17:52:50,[1],72,"['Rain', 520, 296.75, 88]"
43827.74572,28/12/2019,17:53:50,[1],96,"['Rain', 520, 296.6, 88]"
43827.74586,28/12/2019,17:54:02,[1],71,"['Rain', 520, 296.75, 88]"
43827.74641,28/12/2019,17:54:50,[1],29,"['Rain', 520, 296.6, 88]"
43827.74658,28/12/2019,17:55:04,[0],92,"['Rain', 520, 296.6, 88]"
43827.74711,28/12/2019,17:55:50,[1],36,"['Rain', 520, 296.6, 88]"
43827.74724,28/12/2019,17:56:02,[1],39,"['Rain', 520, 296.6, 88]"
43827.7478,28/12/2019,17:56:50,[1],9,"['Rain', 520, 296.6, 88]"
43827.7485,28/12/2019,17:57:50,[0],62,"['Rain', 520, 296.6, 88]"
43827.74863,28/12/2019,17:58:02,[0],60,"['Rain', 520, 296.6, 88]"
43827.74919,28/12/2019,17:58:50,[0],69,"['Rain', 520, 296.6, 88]"
43827.74989,28/12/2019,17:59:50,[1],51,"['Rain', 520, 296.6, 88]"
43827.75002,28/12/2019,18:00:02,[0],38,"['Rain', 520, 296.6, 88]"
43827.75058,28/12/2019,18:00:50,[1],88,"['Rain', 520, 296.6, 88]"
43827.75127,28/12/2019,18:01:50,[0],90,"['Rain', 520, 296.6, 88]"
43827.75266,28/12/2019,18:03:50,[1],87,"['Rain', 520, 296.6, 88]"
43827.7528,28/12/2019,18:04:02,[1],75,"['Rain', 520, 296.6, 88]"
43827.75309,28/12/2019,18:04:27,[1],30,"['Rain', 520, 296.59, 88]"
43827.75323,28/12/2019,18:04:39,[1],57,"['Rain', 520, 296.59, 88]"
43827.75333,28/12/2019,18:04:47,[1],67,"['Rain', 520, 296.59, 88]"
43827.75343,28/12/2019,18:04:57,[1],53,"['Rain', 520, 296.59, 88]"
43827.75391,28/12/2019,18:05:37,[0],53,"['Rain', 520, 296.6, 88]"
43827.75408,28/12/2019,18:05:52,[0],47,"['Rain', 520, 296.72, 88]"
43827.75417,28/12/2019,18:06:00,[0],40,"['Rain', 520, 296.72, 88]"
43827.75427,28/12/2019,18:06:09,[1],6,"['Rain', 520, 296.72, 88]"
43827.75449,28/12/2019,18:06:28,[0],72,"['Rain', 520, 296.72, 88]"
43827.75461,28/12/2019,18:06:38,[1],19,"['Rain', 520, 296.59, 88]"
43827.86115,28/12/2019,20:40:03,[1],49,"['Rain', 500, 296.11, 94]"
43827.89309,28/12/2019,21:26:03,[1],50,"['Clouds', 804, 295.73, 88]"
43827.91533,28/12/2019,21:58:04,[0],97,"['Rain', 500, 297.83, 88]"
43827.9181,28/12/2019,22:02:04,[0],64,"['Clouds', 803, 297.45, 88]"
43827.92644,28/12/2019,22:14:04,[1],39,"['Clouds', 803, 297.89, 88]"
43827.93061,28/12/2019,22:20:04,[0],25,"['Clouds', 802, 298.24, 78]"
43827.95977,28/12/2019,23:02:04,[0],71,"['Clear', 800, 300.3, 74]"
43827.96672,28/12/2019,23:12:04,[1],43,"['Clear', 800, 299.51, 74]"
43827.96811,28/12/2019,23:14:04,[0],89,"['Clear', 800, 299.5, 74]"
43827.9695,28/12/2019,23:16:04,[0],49,"['Clear', 800, 299.51, 74]"
43827.97088,28/12/2019,23:18:04,[0],16,"['Clear', 800, 299.5, 74]"
43827.97366,28/12/2019,23:22:04,[0],28,"['Clear', 800, 299.5, 74]"
43827.97505,28/12/2019,23:24:04,[0],99,"['Clear', 800, 299.51, 74]"
43827.97922,28/12/2019,23:30:05,[1],9,"['Clouds', 803, 300.89, 74]"
43827.982,28/12/2019,23:34:04,[0],13,"['Clouds', 803, 300.35, 74]"
43827.9945,28/12/2019,23:52:04,[1],57,"['Clouds', 803, 300.32, 74]"
43827.99866,28/12/2019,23:58:04,[0],51,"['Clouds', 802, 300.41, 70]"
43828.01255,29/12/2019,00:18:04,[1],61,"['Clouds', 802, 301.44, 70]"
43828.01533,29/12/2019,00:22:05,[0],64,"['Clouds', 803, 301.51, 62]"
43828.01672,29/12/2019,00:24:05,[0],42,"['Clouds', 803, 301.51, 62]"
43828.02088,29/12/2019,00:30:04,[0],16,"['Clouds', 803, 301.51, 62]"
43828.032,29/12/2019,00:46:05,[1],83,"['Clouds', 803, 301.8, 62]"
43828.0445,29/12/2019,01:04:04,[1],65,"['Clouds', 803, 301.34, 74]"
43828.04727,29/12/2019,01:08:04,[1],66,"['Clouds', 803, 301.57, 74]"
43828.04866,29/12/2019,01:10:04,[0],16,"['Clouds', 803, 301.57, 74]"
43828.05005,29/12/2019,01:12:05,[0],46,"['Clouds', 803, 301.57, 74]"
43828.05144,29/12/2019,01:14:05,[0],41,"['Clouds', 803, 301.57, 74]"
43828.057,29/12/2019,01:22:05,[1],52,"['Rain', 500, 302.35, 62]"
43828.06116,29/12/2019,01:28:05,[0],68,"['Rain', 500, 302.34, 62]"
43828.06255,29/12/2019,01:30:05,[0],60,"['Rain', 500, 302.34, 62]"
43828.0695,29/12/2019,01:40:05,[1],48,"['Rain', 500, 302.45, 62]"
43828.07366,29/12/2019,01:46:05,[0],18,"['Rain', 500, 303.01, 62]"
43828.07505,29/12/2019,01:48:05,[0],26,"['Rain', 500, 303.01, 62]"
43828.07783,29/12/2019,01:52:05,[0],24,"['Rain', 500, 302.82, 70]"
43828.07922,29/12/2019,01:54:05,[0],67,"['Rain', 500, 302.82, 70]"
43828.082,29/12/2019,01:58:05,[1],45,"['Clouds', 803, 302.18, 70]"
43828.09037,29/12/2019,02:10:08,[1],6,"['Clouds', 803, 302.18, 70]"
43828.09592,29/12/2019,02:18:08,[1],84,"['Clouds', 803, 302.39, 62]"
43828.10009,29/12/2019,02:24:08,[1],82,"['Clouds', 803, 302.45, 62]"
43828.10427,29/12/2019,02:30:09,[1],4,"['Clouds', 803, 302.45, 62]"
43828.10566,29/12/2019,02:32:09,[0],15,"['Clouds', 803, 302.45, 62]"
43828.10843,29/12/2019,02:36:09,[0],66,"['Clouds', 803, 302.55, 62]"
43828.11121,29/12/2019,02:40:09,[1],12,"['Clouds', 803, 302.55, 62]"
43828.11538,29/12/2019,02:46:09,[0],91,"['Clouds', 803, 302.89, 62]"
43828.11677,29/12/2019,02:48:09,[1],94,"['Clouds', 803, 302.55, 62]"
43828.1251,29/12/2019,03:00:09,[0],40,"['Clouds', 803, 302.9, 62]"
43828.12649,29/12/2019,03:02:09,[0],16,"['Clouds', 803, 302.67, 62]"
43828.12788,29/12/2019,03:04:09,[0],67,"['Clouds', 803, 302.42, 62]"
43828.12927,29/12/2019,03:06:09,[1],40,"['Clouds', 803, 302.9, 62]"
43828.13066,29/12/2019,03:08:09,[0],61,"['Clouds', 803, 302.42, 62]"
43828.13205,29/12/2019,03:10:09,[1],3,"['Clouds', 803, 302.42, 62]"
43828.1376,29/12/2019,03:18:09,[1],40,"['Clouds', 803, 301.98, 62]"
43828.13899,29/12/2019,03:20:09,[1],74,"['Clouds', 803, 301.98, 62]"
43828.14177,29/12/2019,03:24:09,[1],24,"['Rain', 520, 302.03, 79]"
43828.14593,29/12/2019,03:30:09,[1],37,"['Rain', 520, 302.03, 79]"
43828.14872,29/12/2019,03:34:10,[1],78,"['Rain', 520, 301.92, 79]"
43828.15011,29/12/2019,03:36:10,[1],43,"['Rain', 520, 302.51, 79]"
43828.1515,29/12/2019,03:38:10,[1],61,"['Rain', 520, 302.51, 79]"
43828.15289,29/12/2019,03:40:10,[0],23,"['Rain', 520, 302.51, 79]"
43828.15984,29/12/2019,03:50:10,[0],67,"['Clouds', 803, 302.68, 66]"
43828.16122,29/12/2019,03:52:10,[0],13,"['Rain', 520, 302.62, 79]"
43828.16261,29/12/2019,03:54:10,[0],38,"['Clouds', 803, 302.68, 66]"
43828.16539,29/12/2019,03:58:10,[1],76,"['Clouds', 803, 302.68, 66]"
43828.16678,29/12/2019,04:00:10,[1],7,"['Clouds', 803, 302.8, 66]"
43828.16817,29/12/2019,04:02:10,[1],38,"['Clouds', 803, 302.8, 66]"
43828.16956,29/12/2019,04:04:10,[1],46,"['Clouds', 803, 302.68, 66]"
43828.17928,29/12/2019,04:18:10,[0],31,"['Clouds', 803, 303.26, 66]"
43828.18067,29/12/2019,04:20:10,[1],19,"['Clouds', 803, 303.19, 70]"
43828.18206,29/12/2019,04:22:10,[1],28,"['Clouds', 803, 303.16, 66]"
43828.18483,29/12/2019,04:26:10,[0],31,"['Clouds', 803, 303.19, 70]"
43828.18761,29/12/2019,04:30:10,[1],36,"['Clouds', 803, 301.87, 70]"
43828.189,29/12/2019,04:32:10,[1],95,"['Clouds', 803, 301.87, 70]"
43828.19317,29/12/2019,04:38:10,[1],50,"['Clouds', 803, 301.87, 70]"
43828.19595,29/12/2019,04:42:10,[1],75,"['Clouds', 803, 300.72, 70]"
43828.19733,29/12/2019,04:44:10,[0],62,"['Clouds', 803, 301.85, 70]"
43828.19872,29/12/2019,04:46:10,[1],25,"['Clouds', 803, 300.72, 70]"
43828.20289,29/12/2019,04:52:10,[1],87,"['Clouds', 803, 300.42, 66]"
43828.20428,29/12/2019,04:54:10,[0],78,"['Clouds', 803, 300.78, 66]"
43828.20567,29/12/2019,04:56:10,[0],43,"['Clouds', 803, 300.42, 66]"
43828.21123,29/12/2019,05:04:10,[1],40,"['Clouds', 803, 301.87, 66]"
43828.21261,29/12/2019,05:06:10,[1],93,"['Clouds', 803, 301.87, 66]"
43828.214,29/12/2019,05:08:10,[0],73,"['Clouds', 803, 301.87, 66]"
43828.21678,29/12/2019,05:12:10,[1],34,"['Clouds', 803, 301.87, 66]"
43828.21817,29/12/2019,05:14:10,[1],41,"['Clouds', 803, 301.87, 66]"
43828.21956,29/12/2019,05:16:10,[1],1,"['Clouds', 803, 301.87, 66]"
43828.22095,29/12/2019,05:18:10,[1],97,"['Clouds', 803, 300.87, 66]"
43828.22234,29/12/2019,05:20:10,[1],85,"['Clouds', 803, 300.87, 66]"
43828.22511,29/12/2019,05:24:10,[1],91,"['Clouds', 803, 300.87, 66]"
43828.22789,29/12/2019,05:28:10,[0],23,"['Clouds', 803, 301.59, 70]"
43828.23067,29/12/2019,05:32:10,[1],1,"['Clouds', 803, 301.59, 70]"
43828.23206,29/12/2019,05:34:10,[1],6,"['Clouds', 803, 301.58, 70]"
43828.23345,29/12/2019,05:36:10,[1],57,"['Clouds', 803, 301.59, 70]"
43828.23484,29/12/2019,05:38:10,[1],54,"['Clouds', 803, 301.58, 70]"
43828.23761,29/12/2019,05:42:10,[0],71,"['Clouds', 803, 301.58, 70]"
43828.24039,29/12/2019,05:46:10,[0],50,"['Clouds', 803, 301.57, 70]"
43828.24456,29/12/2019,05:52:10,[1],9,"['Clouds', 802, 301.65, 62]"
43828.24873,29/12/2019,05:58:10,[0],75,"['Clouds', 802, 301.63, 62]"
43828.25012,29/12/2019,06:00:10,[0],62,"['Clouds', 802, 301.65, 62]"
43828.25567,29/12/2019,06:08:10,[1],43,"['Clouds', 802, 301.55, 62]"
43828.25845,29/12/2019,06:12:10,[1],69,"['Clouds', 802, 301.55, 62]"
43828.26123,29/12/2019,06:16:10,[1],85,"['Clouds', 802, 300.83, 62]"
43828.26261,29/12/2019,06:18:10,[0],62,"['Clouds', 802, 300.82, 62]"
43828.264,29/12/2019,06:20:10,[1],78,"['Clouds', 802, 300.82, 62]"
43828.26539,29/12/2019,06:22:10,[1],93,"['Clouds', 803, 300.35, 69]"
43828.26956,29/12/2019,06:28:10,[1],21,"['Clouds', 803, 300.29, 69]"
43828.27095,29/12/2019,06:30:10,[0],42,"['Clouds', 803, 300.29, 69]"
43828.27234,29/12/2019,06:32:10,[0],4,"['Clouds', 803, 300.35, 69]"
43828.27373,29/12/2019,06:34:10,[1],30,"['Clouds', 803, 300.76, 69]"
43828.27512,29/12/2019,06:36:10,[1],40,"['Clouds', 803, 300.76, 69]"
43828.2765,29/12/2019,06:38:10,[0],13,"['Clouds', 803, 300.29, 69]"
43828.27789,29/12/2019,06:40:10,[1],38,"['Clouds', 803, 300.74, 69]"
43828.27928,29/12/2019,06:42:10,[0],41,"['Clouds', 803, 300.76, 69]"
43828.28345,29/12/2019,06:48:10,[1],53,"['Clouds', 803, 300.62, 69]"
43828.28484,29/12/2019,06:50:10,[0],87,"['Clouds', 803, 300.74, 69]"
43828.28623,29/12/2019,06:52:10,[0],75,"['Clouds', 803, 300.62, 69]"
43828.28761,29/12/2019,06:54:10,[0],72,"['Rain', 520, 300.46, 62]"
43828.29039,29/12/2019,06:58:10,[1],41,"['Clouds', 803, 300.62, 69]"
43828.29178,29/12/2019,07:00:10,[1],91,"['Rain', 520, 300.44, 62]"
43828.29317,29/12/2019,07:02:10,[1],90,"['Rain', 520, 300.44, 62]"
43828.29595,29/12/2019,07:06:10,[0],31,"['Rain', 520, 300.44, 62]"
43828.29873,29/12/2019,07:10:10,[1],54,"['Rain', 520, 300.44, 62]"
43828.30012,29/12/2019,07:12:10,[0],78,"['Rain', 520, 300.44, 62]"
43828.30289,29/12/2019,07:16:10,[1],37,"['Rain', 520, 300.21, 62]"
43828.30428,29/12/2019,07:18:10,[0],97,"['Rain', 520, 300.01, 69]"
43828.30567,29/12/2019,07:20:10,[1],68,"['Rain', 520, 300.01, 69]"
43828.31401,29/12/2019,07:32:10,[0],37,"['Rain', 520, 299.66, 69]"
43828.31956,29/12/2019,07:40:10,[0],20,"['Rain', 520, 299.65, 69]"
43828.32651,29/12/2019,07:50:10,[1],2,"['Rain', 520, 300.56, 69]"
43828.33067,29/12/2019,07:56:10,[0],54,"['Rain', 520, 300.56, 69]"
43828.33623,29/12/2019,08:04:10,[0],71,"['Clouds', 803, 300.17, 74]"
43828.339,29/12/2019,08:08:10,[1],12,"['Clouds', 803, 300.02, 74]"
43828.34039,29/12/2019,08:10:10,[0],59,"['Clouds', 803, 300.02, 74]"
43828.34734,29/12/2019,08:20:10,[1],19,"['Rain', 520, 299.88, 74]"
43828.35012,29/12/2019,08:24:10,[1],73,"['Rain', 520, 299.88, 74]"
43828.35151,29/12/2019,08:26:10,[0],79,"['Rain', 520, 299.88, 74]"
43828.3529,29/12/2019,08:28:10,[1],43,"['Rain', 520, 299.46, 74]"
43828.35567,29/12/2019,08:32:10,[1],21,"['Rain', 520, 299.46, 74]"
43828.35984,29/12/2019,08:38:10,[1],15,"['Rain', 520, 299.46, 74]"
43828.3654,29/12/2019,08:46:10,[1],50,"['Rain', 520, 299.18, 74]"
43828.3904,29/12/2019,09:22:10,[1],26,"['Clouds', 804, 298.51, 78]"
43828.40012,29/12/2019,09:36:10,[0],38,"['Clouds', 804, 298.37, 78]"
43828.40984,29/12/2019,09:50:10,[1],33,"['Clouds', 804, 298.38, 78]"
43828.41262,29/12/2019,09:54:10,[0],78,"['Clouds', 803, 298.21, 78]"
43828.41817,29/12/2019,10:02:10,[1],93,"['Clouds', 803, 298.21, 78]"
43828.41956,29/12/2019,10:04:10,[0],22,"['Clouds', 803, 298.21, 78]"
43828.41959,29/12/2019,10:04:13,[1],88,"['Clouds', 803, 298.21, 78]"
43828.42373,29/12/2019,10:10:10,[1],22,"['Clouds', 803, 298.21, 78]"
43828.43206,29/12/2019,10:22:10,[0],19,"['Clouds', 803, 298.19, 74]"
43828.43484,29/12/2019,10:26:10,[0],16,"['Clouds', 803, 298.19, 74]"
43828.44456,29/12/2019,10:40:10,[1],44,"['Clouds', 803, 298.17, 74]"
43828.44734,29/12/2019,10:44:10,[1],32,"['Clouds', 803, 298.17, 74]"
43828.44873,29/12/2019,10:46:10,[0],59,"['Clouds', 803, 298.17, 74]"
43828.4529,29/12/2019,10:52:10,[1],49,"['Rain', 500, 298.09, 74]"
43828.45429,29/12/2019,10:54:10,[1],60,"['Rain', 521, 297.48, 88]"
43828.45567,29/12/2019,10:56:10,[0],99,"['Rain', 521, 297.48, 88]"
43828.47512,29/12/2019,11:24:10,[0],66,"['Rain', 521, 297.33, 88]"
43828.47928,29/12/2019,11:30:10,[1],72,"['Rain', 520, 297.33, 88]"
43828.48901,29/12/2019,11:44:10,[1],57,"['Rain', 520, 297.32, 88]"
43828.49456,29/12/2019,11:52:10,[1],21,"['Clouds', 804, 297.27, 83]"
43828.49595,29/12/2019,11:54:10,[1],10,"['Clouds', 804, 297.27, 83]"
43828.50012,29/12/2019,12:00:10,[0],18,"['Clouds', 804, 297.28, 83]"
43828.50568,29/12/2019,12:08:10,[1],50,"['Clouds', 804, 297.28, 83]"
43828.50845,29/12/2019,12:12:10,[0],99,"['Clouds', 804, 297.28, 83]"
43828.50984,29/12/2019,12:14:10,[0],33,"['Clouds', 804, 297.29, 83]"
43828.5154,29/12/2019,12:22:10,[0],64,"['Clouds', 804, 297.04, 94]"
43828.51818,29/12/2019,12:26:10,[1],7,"['Clouds', 804, 297.04, 94]"
43828.52095,29/12/2019,12:30:10,[1],52,"['Clouds', 804, 297.04, 94]"
43828.52373,29/12/2019,12:34:10,[1],77,"['Clouds', 804, 297.18, 94]"
43828.52376,29/12/2019,12:34:13,[1],74,"['Clouds', 804, 297.18, 94]"
43828.52512,29/12/2019,12:36:10,[0],90,"['Clouds', 804, 297.18, 94]"
43828.52651,29/12/2019,12:38:10,[0],90,"['Clouds', 804, 297.17, 94]"
43828.53206,29/12/2019,12:46:10,[0],70,"['Clouds', 804, 297.17, 94]"
43828.53484,29/12/2019,12:50:10,[1],84,"['Clouds', 804, 297.17, 94]"
43828.53762,29/12/2019,12:54:10,[1],57,"['Clouds', 803, 297.42, 83]"
43828.54317,29/12/2019,13:02:10,[1],29,"['Clouds', 803, 297.38, 83]"
43828.54321,29/12/2019,13:02:13,[1],43,"['Clouds', 803, 297.41, 83]"
43828.54457,29/12/2019,13:04:11,[1],16,"['Clouds', 803, 297.38, 83]"
43828.55012,29/12/2019,13:12:10,[0],65,"['Clouds', 803, 297.27, 83]"
43828.5529,29/12/2019,13:16:10,[0],11,"['Clouds', 803, 297.27, 83]"
43828.55708,29/12/2019,13:22:11,[0],11,"['Drizzle', 300, 297.39, 83]"
43828.56402,29/12/2019,13:32:11,[1],35,"['Drizzle', 300, 297.4, 83]"
43828.56819,29/12/2019,13:38:11,[1],41,"['Drizzle', 300, 297.41, 83]"
43828.57791,29/12/2019,13:52:11,[1],89,"['Rain', 520, 296.88, 88]"
43828.58208,29/12/2019,13:58:11,[0],44,"['Rain', 520, 296.88, 88]"
43828.58347,29/12/2019,14:00:11,[1],11,"['Rain', 520, 296.88, 88]"
43828.58624,29/12/2019,14:04:12,[1],21,"['Rain', 520, 296.88, 88]"
43828.58902,29/12/2019,14:08:11,[1],67,"['Rain', 520, 296.73, 88]"
43828.58905,29/12/2019,14:08:14,[0],52,"['Rain', 520, 296.88, 88]"
43828.59041,29/12/2019,14:10:12,[0],14,"['Rain', 520, 296.73, 88]"
43828.59458,29/12/2019,14:16:11,[1],52,"['Rain', 520, 296.73, 88]"
43828.59461,29/12/2019,14:16:14,[1],49,"['Rain', 520, 296.73, 88]"
43828.60291,29/12/2019,14:28:12,[0],85,"['Rain', 500, 296.97, 83]"
43828.60708,29/12/2019,14:34:11,[1],71,"['Rain', 500, 296.99, 83]"
43828.61263,29/12/2019,14:42:12,[1],59,"['Rain', 500, 297, 83]"
43828.61402,29/12/2019,14:44:12,[1],62,"['Rain', 500, 297.02, 83]"
43828.61541,29/12/2019,14:46:11,[0],58,"['Rain', 500, 297, 83]"
43828.61819,29/12/2019,14:50:12,[0],53,"['Rain', 500, 297, 83]"
43828.62097,29/12/2019,14:54:11,[1],82,"['Rain', 500, 297, 83]"
43828.62515,29/12/2019,15:00:13,[0],21,"['Rain', 500, 297.01, 83]"
43828.62653,29/12/2019,15:02:13,[1],65,"['Rain', 500, 297.14, 83]"
43828.63487,29/12/2019,15:14:13,[1],97,"['Rain', 500, 297.15, 83]"
43828.63698,29/12/2019,15:17:15,[0],10,
43829.58783,30/12/2019,14:06:29,[1],54,"['Clouds', 803, 296.93, 83]"
43829.58803,30/12/2019,14:06:46,[1],72,"['Clouds', 803, 296.93, 83]"
43829.58819,30/12/2019,14:06:59,[1],28,"['Clouds', 803, 296.93, 83]"
43829.5887,30/12/2019,14:07:44,[1],24,"['Clouds', 803, 296.93, 83]"
43829.5888,30/12/2019,14:07:52,[0],90,"['Clouds', 803, 296.94, 83]"
43829.58895,30/12/2019,14:08:05,[0],70,"['Clouds', 803, 296.94, 83]"
43829.58921,30/12/2019,14:08:28,[1],85,"['Clouds', 803, 296.92, 83]"
43829.58949,30/12/2019,14:08:52,[0],80,"['Clouds', 803, 296.93, 83]"
43829.58967,30/12/2019,14:09:08,[0],80,"['Clouds', 803, 296.94, 83]"
43829.58978,30/12/2019,14:09:17,[1],68,"['Clouds', 803, 296.93, 83]"
43829.59013,30/12/2019,14:09:47,[0],61,"['Clouds', 803, 296.93, 83]"
43829.59022,30/12/2019,14:09:55,[0],53,"['Clouds', 803, 296.93, 83]"
43829.59034,30/12/2019,14:10:05,[0],55,"['Clouds', 803, 296.92, 83]"
43829.59043,30/12/2019,14:10:13,[1],96,"['Clouds', 803, 296.92, 83]"
43829.59052,30/12/2019,14:10:21,[1],69,"['Clouds', 803, 296.92, 83]"
43829.59071,30/12/2019,14:10:37,[0],44,"['Clouds', 803, 296.93, 83]"
43829.59089,30/12/2019,14:10:53,[1],11,"['Clouds', 803, 296.94, 83]"
43829.59101,30/12/2019,14:11:04,[0],77,"['Clouds', 803, 296.94, 83]"
43829.59118,30/12/2019,14:11:18,[1],44,"['Clouds', 803, 296.93, 83]"
43829.59128,30/12/2019,14:11:26,[0],16,"['Clouds', 803, 296.92, 83]"
43829.59137,30/12/2019,14:11:34,[0],15,"['Clouds', 803, 296.93, 83]"
43829.59165,30/12/2019,14:11:58,[1],16,"['Clouds', 803, 296.94, 83]"
43829.59174,30/12/2019,14:12:06,[1],9,"['Clouds', 803, 296.92, 83]"
43829.59185,30/12/2019,14:12:16,[1],19,"['Clouds', 803, 296.92, 83]"
43829.59196,30/12/2019,14:12:26,[1],84,"['Clouds', 803, 296.93, 83]"
43829.59228,30/12/2019,14:12:53,[1],24,"['Clouds', 803, 296.93, 83]"
43829.59239,30/12/2019,14:13:02,[1],73,"['Clouds', 803, 296.93, 83]"
43829.59269,30/12/2019,14:13:28,[1],46,"['Clouds', 803, 296.93, 83]"
43829.5928,30/12/2019,14:13:38,[1],51,"['Clouds', 803, 296.92, 83]"
43829.59288,30/12/2019,14:13:45,[1],50,"['Clouds', 803, 296.92, 83]"
43829.59298,30/12/2019,14:13:53,[1],8,"['Clouds', 803, 296.92, 83]"
43829.59311,30/12/2019,14:14:05,[0],32,"['Clouds', 803, 296.93, 83]"
43829.59367,30/12/2019,14:14:53,[0],39,"['Clouds', 803, 296.93, 83]"
43829.59385,30/12/2019,14:15:08,[0],40,"['Clouds', 803, 296.92, 83]"
43829.59394,30/12/2019,14:15:17,[0],79,"['Clouds', 803, 296.92, 83]"
43829.59413,30/12/2019,14:15:33,[1],86,"['Clouds', 803, 296.97, 83]"
43829.59423,30/12/2019,14:15:41,[1],51,"['Clouds', 803, 296.93, 83]"
43829.59432,30/12/2019,14:15:49,[1],43,"['Clouds', 803, 296.92, 83]"
43829.59442,30/12/2019,14:15:58,[1],57,"['Clouds', 803, 296.92, 83]"
43829.59048,30/12/2019,14:10:17,[1],80,
43829.60273,30/12/2019,14:27:56,[0],6,"['Clouds', 803, 296.45, 88]"
43829.60351,30/12/2019,14:29:04,[0],73,"['Clouds', 803, 296.45, 88]"
43829.60442,30/12/2019,14:30:22,[0],68,"['Clouds', 803, 296.45, 88]"
43829.60498,30/12/2019,14:31:10,[0],26,"['Clouds', 803, 296.45, 88]"
43829.60507,30/12/2019,14:31:18,[0],27,"['Clouds', 803, 296.45, 88]"
43829.60518,30/12/2019,14:31:28,[0],89,"['Clouds', 803, 296.45, 88]"
43829.60552,30/12/2019,14:31:57,[0],62,"['Clouds', 803, 296.45, 88]"
43829.60576,30/12/2019,14:32:18,[1],8,"['Clouds', 803, 296.45, 88]"
43829.60637,30/12/2019,14:33:10,[0],32,"['Clouds', 803, 296.45, 88]"
43829.60646,30/12/2019,14:33:18,[1],74,"['Clouds', 803, 296.45, 88]"
43829.60715,30/12/2019,14:34:18,[1],50,"['Clouds', 803, 296.45, 88]"
43829.60742,30/12/2019,14:34:41,[1],89,"['Clouds', 803, 296.45, 88]"
43829.60753,30/12/2019,14:34:50,[1],14,"['Clouds', 803, 296.27, 88]"
